Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-05-02,21.4432,22.0266,21.4432,21.4919,1529.0771977988
2022-05-04,21.4919,21.9781,21.1514,21.6864,5101.3799450437
2022-05-05,22.0754,22.1239,21.2974,21.3946,5359.4824175706
2022-05-06,21.4919,22.0754,20.4222,22.0754,12194.570604369
2022-05-09,22.0754,22.1726,21.3946,21.3946,5025.2859889999
2022-05-10,21.3946,21.9781,20.8597,21.1514,24874.497252693
2022-05-11,21.3946,21.7836,20.9084,21.5891,7083.9359889954
2022-05-12,21.2974,21.5891,20.6652,20.9084,93357.001098696
2022-05-13,21.3946,21.3946,19.547,19.8872,63715.32032953
2022-05-16,19.936,20.0817,19.1385,19.2552,26383.008516425
2022-05-17,19.0802,19.6442,18.691,18.9051,28884.854395541
2022-05-18,18.8662,19.547,18.6716,18.6716,25262.165109834
2022-05-19,18.6716,18.9246,17.6019,17.9325,32548.675549379
2022-05-20,17.7963,18.2242,17.5824,17.5824,37353.906043873
2022-05-23,17.8936,18.1853,17.4657,17.7963,45223.460714186
2022-05-24,17.8936,18.4187,17.3101,17.4463,46453.303571327
2022-05-25,17.4657,17.6991,16.7266,16.7655,40213.599175735
2022-05-26,16.7461,16.9211,15.8125,16.5322,77264.157692138
2022-05-27,16.5711,17.4074,15.8125,16.0265,68733.408241607
2022-05-30,16.5322,16.5322,15.8903,15.8903,33031.974999928
2022-05-31,15.8514,17.4463,15.8514,17.4463,280424.73736202
2022-06-01,17.9908,18.7688,17.6991,18.3215,54570.677747133
2022-06-02,18.2826,18.2826,17.1545,17.5046,25088.382966978
2022-06-03,17.5046,17.5046,16.6294,16.6294,20468.245879076
2022-06-06,16.6294,16.8044,16.4349,16.7655,8541.0324175636
2022-06-07,16.7655,16.8044,16.1626,16.396,13008.981593378
2022-06-08,16.4349,16.9211,16.0265,16.0265,12015.646977996
2022-06-09,15.9876,16.2988,15.9292,15.9487,11577.592582392
2022-06-10,16.1237,16.1237,15.2874,15.2874,23824.606318629
2022-06-13,15.1124,15.1513,14.5872,14.6067,18235.813736224
2022-06-14,14.6067,14.8012,14.4511,14.7817,12456.786263709
2022-06-15,14.879,15.3652,14.6845,15.054,9150.8123626172
2022-06-17,14.6261,14.9762,14.2955,14.2955,15046.037362604
2022-06-20,14.2761,14.9179,13.6148,13.8093,39734.412912001
2022-06-21,13.7898,14.49,13.7898,14.2761,17381.299175786
2022-06-22,14.1983,14.2955,13.9649,14.0816,8580.1076922888
2022-06-23,14.1983,14.7428,14.1205,14.49,14014.6557692
2022-06-24,14.665,15.2485,14.6456,14.9179,8279.8450549268
2022-06-27,15.0735,15.0735,14.2761,14.4705,9209.425274705
2022-06-28,14.5678,15.1902,14.3928,14.9373,7579.5749999833
2022-06-29,14.8984,15.5208,14.101,15.5208,42140.62719771
2022-06-30,15.2436,15.2436,14.5508,14.5508,17656.251281269
2022-07-01,14.5508,15.6594,14.531,15.402,23486.4410246
2022-07-04,15.4218,15.8178,14.9862,15.006,18039.138460739
2022-07-05,15.1644,15.3426,14.4518,14.4518,24639.143588652
2022-07-06,14.6498,14.8478,14.0558,14.0756,28748.866665393
2022-07-07,14.7092,16.0356,14.4914,16.0158,59282.85640763
2022-07-08,16.669,17.065,16.1544,16.6888,50870.451279797
2022-07-11,16.4314,17.8172,16.4314,17.7182,60793.189740896
2022-07-12,17.7182,17.7182,16.8274,16.8274,21498.256409304
2022-07-13,16.9264,17.0452,16.095,16.194,16544.969230036
2022-07-14,16.3324,16.5106,15.2634,15.2634,14352.712819877
2022-07-15,15.1446,16.8076,15.1248,16.4314,18075.507691507
2022-07-18,16.4314,17.2234,16.372,16.6888,10931.9846149
2022-07-19,16.7482,16.7878,16.2928,16.372,5851.4051279459
2022-07-20,16.5898,16.6492,15.8772,16.095,11141.107691814
2022-07-21,16.5304,16.57,16.0356,16.3324,17182.44102488
2022-07-22,16.3522,16.9858,15.9168,16.8274,12736.302563538
2022-07-25,17.0254,17.8172,17.0056,17.6192,28250.810255159
2022-07-26,17.8172,17.8172,17.2234,17.3422,13609.164101961
2022-07-27,17.5204,17.6192,16.4314,16.4314,13187.887178903
2022-07-28,17.1442,17.362,16.6888,16.6888,13360.641025049
2022-07-29,16.6888,17.4214,16.6888,17.2432,8703.3589739734
2022-08-01,17.461,18.4112,17.1046,17.9558,22095.317947739
2022-08-02,17.9558,17.9558,17.5204,17.6984,20117.235896545
2022-08-03,17.9558,18.3716,17.8172,18.2132,23338.94358871
2022-08-04,18.4112,18.6092,17.5994,17.5994,22473.153845158
2022-08-05,17.6192,18.3122,17.5994,18.2132,21817.497434931
2022-08-08,18.2132,18.2528,17.6786,17.738,8402.3025637303
2022-08-09,17.7182,17.9162,17.1442,17.4412,22526.697434899
2022-08-10,17.7974,17.8172,17.4214,17.5204,13317.19999941
2022-08-11,17.6984,17.8172,17.6192,17.8172,3528.8256408693
2022-08-12,17.8172,17.8172,17.3224,17.4808,9290.3179483063
2022-08-16,17.7776,17.8172,17.2432,17.2432,11110.799999508
2022-08-17,17.4214,17.5994,17.1838,17.3224,4139.0205126371
2022-08-18,17.3026,17.3026,16.669,17.0056,8943.7999996037
2022-08-19,16.6492,16.6492,16.1346,16.273,21915.492306721
2022-08-22,16.273,16.4512,15.501,15.5604,17950.235896641
2022-08-23,15.501,16.2138,15.501,16.0158,5747.3487176941
2022-08-24,16.0356,16.0554,15.5406,15.9168,8296.2256406581
2022-08-25,16.0356,16.8274,15.9366,16.3522,15547.846153157
